x;y
0;46.3572149038432
1;46.0801890326632
2;45.077372291675
3;48.4806486268642
4;43.6667328003294
5;40.2231293102874
6;36.3882293276756
7;31.9885862286434
8;34.6186219085344
9;30.5405180863162
10;32.0814216035518
11;28.173746144964
12;26.2069450089392
13;28.7706027128932
14;26.3533109875692
15;23.9582294904838
16;22.6815726062492
17;20.280404681547
18;19.9584622602375
19;17.1524907241077
20;16.2698195560289
21;14.4186638668383
22;10.8137526243055
23;13.5488998684693
24;6.24256569495052
25;7.37633457738444
